GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ziggurat Gaussian,org.cicirello.math.rand,PolarGaussian,0,157,0,12,0,33,0,13,0,7
Ziggurat Gaussian,org.cicirello.math.rand,ZigguratGaussian,0,1742,0,16,0,37,0,15,0,7
